Control ID,Control Description,ApplyServerSideEncryptionByDefault,PasswordReusePrevention,MFA,HardExpriy,MaxPasswordAge,MinimumPasswordLength,ExpirePassword,Secure Transfer Config,Key Management sevice,Access Restriction,User Management,Privileged Access,Secret Auth Management,Logging & Monitoring,Label
A.13.1.1,"Network Security Management: S3 buckets should be configured to ensure secure data transfers to and from the service, adhering to the standard’s requirement for managing network security.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,100
A.13.2.1,"Information Transfer Policies and Procedures: Policies for securing uploads/downloads and sharing of S3 data should be in place, aligning with controls on information transfer.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,100
A.10.1.1 ,"Cryptographic Controls: AWS KMS is central to managing cryptographic keys for data encryption, directly supporting the control requiring the use and management of cryptographic techniques and keys.",1,0,0,0,0,0,0,0,1,0,0,0,1,0,100
A.10.1.1 ,"Cryptographic Controls: AWS KMS is central to managing cryptographic keys for data encryption, directly supporting the control requiring the use and management of cryptographic techniques and keys.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,50
A.10.1.1 ,"Cryptographic Controls: AWS KMS is central to managing cryptographic keys for data encryption, directly supporting the control requiring the use and management of cryptographic techniques and keys.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.10.1.2 ,"Management of Cryptographic Keys: Specifically addressing the lifecycle management of cryptographic keys, including generation, distribution, storage, and destruction, which KMS facilitates.",1,0,0,0,0,0,0,0,1,0,0,0,1,0,100
A.10.1.2 ,"Management of Cryptographic Keys: Specifically addressing the lifecycle management of cryptographic keys, including generation, distribution, storage, and destruction, which KMS facilitates.",1,0,0,0,0,0,0,0,1,0,0,0,0,0,50
A.10.1.2 ,"Management of Cryptographic Keys: Specifically addressing the lifecycle management of cryptographic keys, including generation, distribution, storage, and destruction, which KMS facilitates.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.9.2.3 ,"Management of Privileged Access Rights: IAM is crucial for managing special access rights, ensuring that only authorized personnel have elevated access permissions, in compliance with this control.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,100
A.9.2.3 ,"Management of Privileged Access Rights: IAM is crucial for managing special access rights, ensuring that only authorized personnel have elevated access permissions, in compliance with this control.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,50
A.9.2.3 ,"Management of Privileged Access Rights: IAM is crucial for managing special access rights, ensuring that only authorized personnel have elevated access permissions, in compliance with this control.",0,0,0,0,1,1,0,0,0,0,0,0,0,0,50
A.9.4.1 ,"Use of Secret Authentication Information: IAM supports the management of secret authentication information (passwords, keys) through policies enforcing password complexity, rotation, and multi-factor",0,1,0,0,1,0,1,0,0,0,0,0,0,0,100
A.9.4.1 ,"Use of Secret Authentication Information: IAM supports the management of secret authentication information (passwords, keys) through policies enforcing password complexity, rotation, and multi-factor",0,1,0,0,1,0,0,0,0,0,0,0,0,0,50
A.9.4.1 ,"Use of Secret Authentication Information: IAM supports the management of secret authentication information (passwords, keys) through policies enforcing password complexity, rotation, and multi-factor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.12.4.1 L,Logging and Monitoring: Integration of IAM with AWS CloudTrail ensures that logging and monitoring controls are met by recording and analyzing actions made on AWS resources.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
A.12.4.1 L,Logging and Monitoring: Integration of IAM with AWS CloudTrail ensures that logging and monitoring controls are met by recording and analyzing actions made on AWS resources.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
